ticker,data,DividendYield,P_Ativos,P_L,P_VP,ROA,ROE,ROIC,ValorDeMercado
ABEV3,2014-03-31,0.0149852507374631,4.195165598886419,24.906204275430174,6.621065387256587,0.1684385766893,0.2898102151254961,0.3106739175490593,265541581500.0
ABEV3,2014-06-30,0.0243654822335025,3.920890115444364,21.142900394028423,5.887517066539737,0.1854471260977881,0.2843305651918849,0.3060257185373516,246973116080.0
ABEV3,2014-09-30,0.0339152119700748,3.866664771671101,20.63956125009692,5.772499795296636,0.1873423918666364,0.2858021368922224,0.301587515231725,251820108320.0
ABEV3,2014-12-31,0.0546788990825688,3.560991333445509,21.292202158515945,5.886201603453563,0.1672439190147961,0.2832423588777818,0.2990757055761984,256686955800.0
ABEV3,2015-03-31,0.0447696476964769,3.861323849284136,23.519944039256625,6.288766088302873,0.1641723229799902,0.276022618999703,0.2933470020455735,289989996750.0
ABEV3,2015-06-30,0.041675392670157,4.033072614625134,23.691824010303595,6.536772901969587,0.1702305661594965,0.2853145600898563,0.3036841544523118,300206446500.0
ABEV3,2015-09-30,0.0404737384140061,3.466890991082296,23.83084809520969,6.067983303806436,0.1454791276093604,0.2639955097460628,0.2820228604267763,305236083300.0
ABEV3,2015-12-31,0.032829131652661,3.1112346935002857,22.582469344452665,5.573995180320086,0.1377721207563403,0.2558754501190089,0.2808542707968124,280559427750.0
ABEV3,2016-03-31,0.0281615302869288,3.6861411998789007,23.89387394463623,6.034371168026443,0.1542713922581138,0.2613272806876427,0.2976240104132986,295805514300.0
ABEV3,2016-06-30,0.0225721784776902,3.905992807909632,25.124505505404628,6.500293996526771,0.1554654600891308,0.2690244556003209,0.3196775841440417,299420565750.0
ABEV3,2016-09-30,0.020686175580222,3.937837915355437,25.89989028906039,6.336417626991501,0.1520407179878558,0.2544178535804305,0.3074360791073952,311523129300.0
ABEV3,2016-12-31,0.0390243902439024,3.0744814692900357,20.54490304552385,5.52544163157134,0.1496469203323827,0.2804510179175604,0.3225010852088943,257768886000.0
