iter	RMSE
0	3229.335423
1	3056.149265
2	2886.811995
3	2730.524094
4	2584.854031
5	2450.374798
6	2320.44557
7	2200.949019
8	2090.411547
9	1986.010825
10	1881.785991
11	1786.44562
12	1697.875973
13	1612.717661
14	1533.319146
15	1461.26744
16	1392.108724
17	1327.5347
18	1263.39776
19	1204.502392
20	1151.506203
21	1097.573932
22	1050.319592
23	1004.204277
24	961.8711821
25	919.7811556
26	884.5013024
27	849.0313281
28	814.825885
29	782.3169497
30	752.1898805
31	724.7271456
32	697.6371875
33	672.3389295
34	648.4623647
35	626.0072838
36	605.2652132
37	586.0848047
38	569.0290303
39	553.708716
40	536.8975315
41	521.8540768
42	507.5428275
43	495.5729669
44	483.4455107
45	472.1072941
46	462.5952884
47	452.6964709
48	443.5280699
49	435.0619464
50	426.5847606
51	419.4186791
52	412.9643954
53	407.2392706
54	401.1787733
55	399.6771165
56	398.3087792
57	396.9667656
58	390.7962421
59	385.4393579
60	384.0487713
61	382.7058471
62	381.5342403
63	380.2302546
64	379.0877186
65	378.0090974
66	373.2711678
67	372.1462621
68	367.2994631
69	366.2730254
70	365.1950698
71	364.1545138
72	363.1282816
73	362.2392496
74	361.356263
75	356.8766813
76	356.1216958
77	352.9385518
78	348.8545509
79	346.0483129
80	345.2844123
81	344.5353001
82	343.7928387
83	343.0050572
84	342.2481847
85	339.4064334
86	338.793186
87	338.2294767
88	337.6199719
89	335.2805342
90	331.9253989
91	331.3547765
92	329.9174413
93	328.6078069
94	327.9795722
95	327.5120254
96	327.0126624
97	325.0142375
98	324.5858995
99	322.4869519
100	320.6934466
101	320.1759095
102	318.27497
103	317.7890068
104	315.7215022
105	315.0513799
106	314.6043653
107	314.1578997
108	312.7643247
109	312.3863499
110	311.7951065
111	311.444186
112	309.8604539
113	309.5247734
114	307.1992576
115	306.9159411
116	306.1232703
117	305.834583
118	305.5206794
119	305.2485287
120	303.1523609
121	302.8415892
122	301.4168332
123	301.1416455
124	299.7583988
125	298.6930587
126	298.4882853
127	298.232477
128	296.3199906
129	295.6647778
130	294.9716568
131	294.3897938
132	292.893353
133	291.316596
134	290.6087889
135	290.4415641
136	290.2726754
137	290.0870607
138	289.8991078
139	289.7353338
140	289.5561159
141	289.373908
142	288.7056473
143	287.6365216
144	286.6936317
145	285.6667121
146	285.2386612
147	284.349554
148	284.2272035
149	283.9773338
150	283.3734223
151	282.7576447
152	282.2525123
153	282.1453305
154	282.0418847
155	281.4334757
156	281.1347661
157	281.0199283
158	280.0403426
159	278.9016021
160	278.1438709
161	277.3091919
162	276.7257208
163	276.1405975
164	276.0628911
165	275.5438152
166	274.9244612
167	274.3656074
168	274.0353418
169	273.968064
170	273.449358
171	273.3845405
172	272.9985225
173	272.9246646
174	272.8664564
175	272.8079092
176	272.5562681
177	272.5015424
178	271.9278962
179	271.3898579
180	271.0719753
181	270.4277039
182	270.1380594
183	270.0923642
184	269.8371343
185	269.5587605
186	268.6106661
187	268.5697954
188	268.0415503
189	267.9941411
190	267.2634076
191	266.6435257
192	266.2334955
193	265.6897893
194	264.9919432
195	264.5304511
196	264.4999137
197	264.1904532
198	264.1046455
199	263.7149655
200	263.5591395
201	263.283072
202	263.2147631
203	263.1823732
204	263.1509392
205	262.8178952
206	262.4578645
207	262.0525596
208	262.0242095
209	261.6297407
210	261.603546
211	261.1285886
212	260.5828354
213	260.1644029
214	259.7482388
215	259.3631186
216	258.909213
217	258.2963303
218	257.8755992
219	257.4917444
220	257.0437503
221	256.7526833
222	256.477051
223	256.4571058
224	256.1278956
225	255.8182073
226	255.4709061
227	255.1412087
228	254.7656663
229	254.3330828
230	253.9039623
231	253.3973898
232	253.0605167
233	252.740807
234	252.3657634
235	252.0113393
236	251.6597352
237	251.287997
238	250.9545979
239	250.1805725
240	249.8997799
241	249.6143427
242	249.3469826
243	248.6240022
244	248.3253211
245	247.9256224
246	247.5664287
247	247.2018564
248	246.9808964
249	246.5753071
250	246.1354169
251	245.8866772
252	245.6336917
253	245.2417937
254	244.9776158
255	244.738122
256	244.4318577
257	244.231533
258	244.0628607
259	243.7204245
260	243.4071903
261	243.1108461
262	242.8438896
263	242.6305134
264	242.2540127
265	242.0604412
266	241.6219722
267	241.1737729
268	240.9754551
269	240.7008634
270	240.441499
271	240.1310103
272	239.4457263
273	239.0304852
274	238.7439881
275	238.5147283
276	238.2271249
277	237.9993822
278	237.729636
279	237.5128236
280	237.3307571
281	236.8916282
282	236.6488639
283	236.0732004
284	235.6619838
285	235.4785533
286	235.1638517
287	235.0051433
288	234.5056393
289	234.2863298
290	233.9934704
291	233.8495738
292	233.705595
293	233.4901543
294	233.2649856
295	233.055244
296	232.7207894
297	232.4795998
298	232.2703961
299	232.1333295
300	231.9301875
301	231.7141255
302	231.5490723
303	231.392328
304	230.9959026
305	230.8909554
306	230.6621863
307	230.4529204
308	230.3041899
309	230.0862278
310	229.9479447
311	229.8617325
312	229.7821292
313	229.7193136
314	229.5214412
315	228.8713454
316	228.7171876
317	228.4768687
318	228.1924649
319	228.0468913
320	227.915558
321	227.5482089
322	227.3693741
323	227.0335912
324	226.8439734
325	226.663337
326	226.6201149
327	226.4572632
328	226.3187088
329	226.2773656
330	226.1555791
331	225.4756241
332	224.9840836
333	224.8492668
334	224.7353608
335	224.4657645
336	224.2628413
337	224.0988873
338	223.9035736
339	223.7901007
340	223.6010788
341	223.3617162
342	223.2302615
343	223.1130464
344	222.9289493
345	222.7790309
346	222.6523949
347	222.5218191
348	222.4005271
349	222.2463881
350	222.0625947
351	221.8982791
352	221.7543329
353	221.5560289
354	221.2604336
355	221.1163348
356	220.8348968
357	220.7287951
358	220.5938919
359	220.5613249
360	220.3369597
361	219.8850581
362	219.8193067
363	219.5520724
364	219.409993
365	219.3206867
366	219.0028651
367	218.7448376
368	218.55925
369	218.3319323
370	218.3012943
371	218.060446
372	218.0256101
373	217.9512325
374	217.8132416
375	217.710253
376	217.4834513
377	217.2644491
378	217.1041427
379	216.8924186
380	216.790769
381	216.7621516
382	216.5996701
383	216.364892
384	216.2643465
385	216.0655893
386	215.8734799
387	215.7253999
388	215.5409217
389	215.2945222
390	215.1158732
391	214.9416262
392	214.7730557
393	214.3578283
394	214.1953545
395	214.0418973
396	213.9713018
397	213.9090758
398	213.4611704
399	213.3104349
400	213.2113148
401	213.0184699
402	212.9870112
403	212.8530087
404	212.7175504
405	212.6711637
406	212.5116658
407	212.2828178
408	212.1680737
409	212.0288481
410	211.8230689
411	211.7547457
412	211.6595189
413	211.4930454
414	211.3002478
415	211.2279649
416	211.1530627
417	210.9269104
418	210.8526052
419	210.7096832
420	210.6032157
421	210.574912
422	210.5477477
423	210.5002162
424	210.3551703
425	210.2467445
426	210.0827166
427	209.9172238
428	209.3259543
429	209.1531404
430	209.0313674
431	208.9770001
432	208.7891421
433	208.5958579
434	208.0993184
435	208.033671
436	207.9001661
437	207.8550279
438	207.6908971
439	207.6133662
440	207.5398085
441	207.3379632
442	207.2939733
443	207.1542631
444	207.0049673
445	206.8604562
446	206.7545918
447	206.5826579
448	206.4753401
449	206.309919
450	206.2382444
451	206.1065546
452	205.9790106
453	205.8524147
454	205.7000718
455	205.5722719
456	205.45578
457	205.1535841
458	205.0398421
459	204.9303565
460	204.8870418
461	204.8542394
462	204.747487
463	204.6979229
464	204.5750103
465	204.4715057
466	204.3449516
467	204.1917662
468	204.094703
469	204.0053436
470	203.9111516
471	203.8479205
472	203.7597103
473	203.7219956
474	203.6011531
475	203.5542472
476	203.4627936
477	203.3233565
478	203.237217
479	203.0911782
480	203.0608105
481	202.9685193
482	202.905426
483	202.8833604
484	202.8418376
485	202.8021422
486	202.6713076
487	202.6083871
488	202.5523334
489	202.3657166
490	202.3143246
491	202.2325149
492	202.0177313
493	201.9330158
494	201.8279161
495	201.7837502
496	201.7556957
497	201.7308546
498	201.634891
499	201.6047341
500	201.5535467
501	201.3416163
502	201.2217405
503	201.1275846
504	201.0890448
505	201.0072309
506	200.8566729
507	200.7777922
508	200.5202474
509	200.4144284
510	200.2593697
511	199.9122912
512	199.8243266
513	199.7229663
514	199.6764059
515	199.638723
516	199.5569907
517	199.4225062
518	199.2648947
519	199.1597253
520	199.1286534
521	199.0587321
522	199.0075991
523	198.977124
524	198.6720509
525	198.4914239
526	198.4665345
527	198.3705195
