iter	Passed	Remaining
315	1290	2793
316	1294	2788
317	1298	2784
318	1303	2781
319	1306	2777
320	1311	2773
321	1315	2770
322	1320	2766
323	1323	2762
324	1327	2757
325	1331	2753
326	1335	2749
327	1340	2745
328	1344	2741
329	1348	2737
330	1351	2732
331	1355	2727
332	1359	2722
333	1362	2717
334	1366	2712
335	1370	2707
336	1373	2703
337	1378	2699
338	1382	2695
339	1385	2690
340	1389	2685
341	1393	2680
342	1397	2677
343	1401	2672
344	1405	2668
345	1409	2664
346	1414	2660
347	1418	2656
348	1421	2652
349	1426	2648
350	1429	2644
351	1433	2639
352	1437	2634
353	1441	2631
354	1445	2626
355	1449	2621
356	1452	2616
357	1456	2612
358	1460	2607
359	1463	2602
360	1467	2598
361	1471	2593
362	1476	2590
363	1479	2585
364	1483	2581
365	1487	2576
366	1491	2572
367	1495	2567
368	1498	2563
369	1503	2559
370	1506	2554
371	1510	2550
372	1514	2545
373	1518	2541
374	1521	2536
375	1525	2532
376	1529	2527
377	1533	2522
378	1537	2518
379	1541	2514
380	1545	2510
381	1549	2506
382	1553	2502
383	1557	2498
384	1562	2496
385	1569	2496
386	1577	2499
387	1585	2501
388	1592	2502
389	1599	2501
390	1611	2510
391	1615	2505
392	1618	2500
393	1622	2496
394	1627	2492
395	1630	2487
396	1635	2483
397	1639	2480
398	1644	2476
399	1648	2472
400	1652	2467
401	1657	2464
402	1661	2460
403	1665	2456
404	1669	2452
405	1673	2448
406	1678	2444
407	1683	2443
408	1689	2441
409	1693	2437
410	1697	2432
411	1702	2429
412	1706	2425
413	1710	2421
414	1714	2417
415	1719	2413
416	1723	2409
417	1727	2405
418	1731	2400
419	1735	2396
420	1740	2393
421	1744	2388
422	1748	2384
423	1751	2379
424	1755	2375
425	1760	2371
426	1764	2368
427	1768	2364
428	1772	2359
429	1776	2354
430	1780	2350
431	1783	2345
432	1787	2340
433	1791	2336
434	1795	2332
435	1799	2328
436	1804	2324
437	1809	2321
438	1814	2318
439	1818	2314
440	1822	2310
441	1826	2306
442	1830	2301
443	1834	2297
444	1838	2292
445	1842	2288
446	1846	2284
447	1850	2280
448	1855	2276
449	1859	2272
450	1863	2268
451	1867	2263
452	1871	2259
453	1874	2254
454	1879	2251
455	1883	2247
456	1888	2243
457	1892	2239
458	1896	2235
459	1900	2231
460	1904	2227
461	1908	2222
462	1912	2217
463	1916	2213
464	1920	2209
465	1924	2205
466	1929	2201
467	1933	2197
468	1937	2193
469	1941	2189
470	1944	2184
471	1949	2180
472	1953	2176
473	1957	2171
474	1960	2167
475	1965	2163
476	1968	2158
477	1972	2154
478	1976	2150
479	1980	2145
480	1984	2141
481	1988	2136
482	1992	2133
483	1997	2129
484	2001	2125
485	2004	2120
486	2008	2116
487	2013	2112
488	2016	2107
489	2020	2103
490	2024	2099
491	2029	2095
492	2033	2091
493	2037	2087
494	2041	2082
495	2045	2078
496	2049	2074
497	2053	2070
498	2057	2066
499	2062	2062
500	2066	2058
501	2070	2054
502	2074	2050
503	2080	2047
504	2084	2043
505	2089	2039
506	2094	2036
507	2099	2033
508	2103	2029
509	2108	2026
510	2113	2022
511	2118	2019
512	2123	2015
513	2128	2012
514	2133	2009
515	2138	2005
516	2143	2002
517	2147	1998
518	2152	1994
519	2157	1991
520	2162	1988
521	2167	1985
522	2173	1982
523	2178	1978
524	2183	1975
525	2187	1971
526	2191	1967
527	2195	1963
528	2199	1958
529	2203	1954
530	2207	1950
531	2211	1945
532	2215	1941
533	2219	1936
534	2223	1932
535	2228	1928
536	2232	1924
537	2235	1920
538	2239	1915
539	2243	1910
540	2246	1906
541	2250	1901
542	2255	1898
543	2259	1893
544	2263	1889
545	2267	1885
546	2271	1881
547	2276	1877
548	2282	1874
549	2287	1871
550	2292	1868
551	2297	1864
552	2303	1861
553	2308	1858
554	2313	1854
555	2318	1851
556	2323	1847
557	2328	1844
558	2334	1841
559	2339	1837
560	2345	1835
561	2352	1833
562	2360	1831
563	2366	1829
564	2371	1825
565	2377	1822
566	2384	1820
567	2389	1817
568	2395	1814
569	2400	1810
570	2405	1807
571	2411	1804
572	2417	1801
573	2423	1798
574	2428	1795
575	2434	1792
576	2439	1788
577	2446	1785
578	2451	1782
579	2457	1779
580	2462	1775
581	2468	1772
582	2473	1769
583	2480	1767
584	2486	1763
585	2492	1761
586	2499	1758
587	2504	1754
588	2510	1751
589	2515	1748
590	2521	1744
591	2525	1740
592	2530	1736
593	2534	1732
594	2538	1727
595	2541	1722
596	2546	1719
597	2551	1714
598	2556	1711
599	2561	1707
600	2565	1703
601	2569	1699
602	2574	1694
603	2579	1691
604	2583	1687
605	2588	1682
606	2592	1678
607	2596	1673
608	2600	1669
609	2605	1666
610	2610	1662
611	2615	1658
612	2620	1654
613	2625	1650
614	2629	1646
615	2634	1642
616	2638	1638
617	2644	1634
618	2648	1630
619	2653	1626
620	2657	1622
621	2662	1618
622	2666	1613
623	2671	1609
624	2675	1605
625	2680	1601
626	2686	1598
627	2692	1594
628	2698	1591
629	2703	1587
630	2709	1584
631	2715	1581
632	2719	1576
633	2724	1572
634	2730	1569
635	2735	1565
636	2741	1561
637	2746	1558
638	2750	1553
639	2755	1549
640	2759	1545
641	2764	1541
642	2768	1537
643	2773	1533
644	2777	1528
645	2782	1524
646	2787	1520
647	2792	1516
648	2797	1512
649	2800	1507
650	2805	1503
651	2809	1499
652	2814	1495
653	2818	1491
654	2822	1486
655	2826	1482
656	2830	1477
657	2834	1473
658	2838	1468
659	2842	1464
660	2846	1459
661	2850	1455
662	2853	1450
663	2857	1446
664	2861	1441
665	2866	1437
666	2870	1433
667	2874	1428
668	2878	1424
669	2883	1420
670	2887	1415
671	2892	1411
672	2896	1407
673	2901	1403
674	2905	1399
675	2909	1394
676	2914	1390
677	2918	1385
678	2921	1381
679	2925	1376
680	2929	1372
681	2933	1367
682	2937	1363
683	2941	1358
684	2945	1354
685	2949	1350
686	2953	1345
687	2958	1341
688	2962	1337
689	2966	1332
690	2970	1328
691	2974	1323
692	2978	1319
693	2982	1315
694	2986	1310
695	2990	1306
696	2993	1301
697	2997	1296
698	3001	1292
699	3005	1288
700	3009	1283
701	3013	1279
702	3017	1274
703	3022	1270
704	3025	1266
705	3029	1261
706	3033	1257
707	3037	1252
708	3041	1248
709	3045	1243
710	3049	1239
711	3052	1234
712	3056	1230
713	3060	1225
714	3063	1221
715	3067	1216
716	3071	1212
717	3075	1207
718	3079	1203
719	3083	1199
720	3087	1194
721	3090	1190
722	3094	1185
723	3098	1181
724	3102	1176
725	3106	1172
726	3110	1167
727	3114	1163
728	3117	1159
729	3121	1154
730	3125	1150
731	3129	1145
732	3134	1141
733	3138	1137
734	3142	1133
735	3146	1128
736	3150	1124
737	3153	1119
738	3157	1115
739	3161	1110
740	3164	1106
741	3168	1101
742	3173	1097
743	3176	1093
744	3180	1088
745	3183	1084
746	3187	1079
747	3191	1075
748	3194	1070
749	3198	1066
750	3203	1062
751	3207	1057
752	3210	1053
753	3214	1048
754	3218	1044
755	3222	1039
756	3225	1035
757	3229	1031
758	3234	1026
759	3238	1022
760	3241	1018
761	3245	1013
762	3249	1009
763	3253	1004
764	3257	1000
765	3261	996
766	3265	991
767	3269	987
768	3272	983
769	3276	978
770	3280	974
771	3284	970
772	3288	965
773	3292	961
774	3296	957
775	3301	952
776	3305	948
777	3309	944
778	3313	939
779	3317	935
780	3320	931
781	3325	926
782	3329	922
783	3333	918
784	3337	914
785	3341	909
786	3344	905
787	3348	900
788	3352	896
789	3356	892
790	3359	887
791	3363	883
792	3367	879
793	3371	874
794	3375	870
795	3378	865
796	3382	861
797	3386	857
798	3390	852
799	3394	848
800	3398	844
801	3402	839
802	3405	835
803	3408	830
804	3412	826
805	3416	822
806	3419	817
807	3423	813
808	3426	809
809	3430	804
810	3434	800
811	3438	796
812	3442	791
813	3445	787
814	3449	783
815	3452	778
816	3456	774
817	3460	770
818	3465	765
819	3469	761
820	3473	757
821	3477	753
822	3481	748
823	3484	744
824	3488	740
825	3507	738
826	3511	734
827	3515	730
828	3518	725
829	3522	721
830	3526	717
831	3530	712
832	3534	708
833	3538	704
834	3541	699
835	3545	695
836	3548	691
837	3552	686
838	3556	682
839	3560	678
840	3564	673
841	3568	669
842	3571	665
843	3575	660
844	3579	656
845	3582	652
846	3586	647
847	3590	643
848	3594	639
849	3598	635
850	3602	630
851	3605	626
852	3609	622
853	3613	617
854	3617	613
855	3621	609
856	3624	604
857	3628	600
858	3632	596
859	3636	591
860	3639	587
861	3643	583
862	3648	579
863	3652	574
864	3657	570
865	3662	566
866	3666	562
867	3670	558
868	3674	553
869	3678	549
870	3683	545
871	3687	541
872	3691	537
873	3695	532
874	3700	528
875	3703	524
876	3708	520
877	3711	515
878	3715	511
879	3719	507
880	3723	502
881	3727	498
882	3730	494
883	3734	490
884	3738	485
885	3743	481
886	3747	477
887	3751	473
888	3756	469
889	3761	464
890	3765	460
891	3769	456
892	3774	452
893	3779	448
894	3784	443
895	3789	439
896	3793	435
897	3799	431
898	3804	427
899	3809	423
900	3813	419
901	3817	414
902	3822	410
903	3827	406
904	3831	402
905	3835	397
906	3839	393
907	3843	389
908	3847	385
909	3851	380
910	3855	376
911	3859	372
912	3862	368
913	3866	363
914	3870	359
915	3874	355
916	3878	351
917	3882	346
918	3886	342
919	3891	338
920	3895	334
921	3899	329
922	3903	325
923	3907	321
924	3910	317
925	3914	312
926	3919	308
927	3923	304
928	3926	300
929	3930	295
930	3934	291
931	3938	287
932	3942	283
933	3945	278
934	3950	274
935	3954	270
936	3957	266
937	3961	261
938	3965	257
939	3969	253
940	3972	249
941	3976	244
942	3981	240
943	3985	236
944	3988	232
945	3992	227
946	3996	223
947	4000	219
948	4003	215
949	4007	210
950	4011	206
951	4015	202
952	4018	198
953	4022	193
954	4026	189
955	4030	185
956	4034	181
957	4038	177
958	4042	172
959	4046	168
960	4050	164
961	4053	160
962	4058	155
963	4062	151
964	4066	147
965	4069	143
966	4074	139
967	4078	134
968	4082	130
969	4086	126
970	4090	122
971	4093	117
972	4097	113
973	4101	109
974	4104	105
975	4108	101
976	4112	96
977	4116	92
978	4120	88
979	4124	84
980	4128	79
981	4132	75
982	4135	71
983	4139	67
984	4143	63
985	4147	58
986	4151	54
987	4155	50
988	4158	46
989	4163	42
990	4166	37
991	4170	33
992	4174	29
993	4178	25
994	4182	21
995	4186	16
996	4190	12
997	4194	8
998	4198	4
999	4202	0
